,artist,song,album,lyrics
42,LL Cool J,10 Million Stars,10,"You can't call it a comeback
I lay back, analyse the rhymes and realise
I own that crown for lyrical
Combat
Spit more raps to count more stacks
Kickin back in the coup
I got loops relax, I'm hotness
Monotonous fans is runnin bizzack
L please don't leave the game like thizzat
Never in a million years
L'll never let you down baby
I drop 50, I steal gravy
 (LL)
I look back on Venus
I look (I look) back on Mars
And (and) I burn with the fire
Of ten (of ten) million stars (guess who's back, uh)

I'm more then a conqueror
Double up your bets
Come and rumble with the decks
I know you had that clown picked
Mind blowin out cos L still sound sick
You dream you was me
I gleam lyrically
I love 'em for it it's the highest form of flattery
Doin' the buck 10 chrome skating on the battery
My, clutch burnin' on top of the world turnin'
Rippers is just learnin by stacks I been earnin'
I'm the uncle L, future of the funk
Turn my joint up, find out why I'm different from all these chumps
And tell your favourite rapper that I'm ready to dump
For real cat, that represented rap from the jump


Six figure interest on the cheddar
From music, fashion, film and televison
Poppin amaretto, so what'chu got a vendetta?
I never felt better
Now forever competition get severed by skills you can't measure
I'm a champ, you a peon
Kiss the ring, begone
Known and respected on any block you be on
And be on, stand there, get your md on
I chuckle 'cos there's nuthin' to waste energy on
There you have it
The uncut raw for rap addicts
Waited three years to see if L still had it
Ten million stars
Got beef to the death
End of my contract, I'm the last one left!


L worth paper
Ask Def Jam who put em up in that skyscraper
(Yeah, I take them seriously baby)
Ask my dogs up in old five, who made a major?
LL playa
Now who's next to need a paper, drop a bomb on em


I look back on Venus
I look back on mars
And I burn with the fire
Of ten million stars"
43,LL Cool J,1-900-LL Cool J,Walking With a Panther,"{*phone rings twice*}
Yo.. ""Hello 1-900-LL Cool J?""
Yeah whassup? ""Can you please bust a funky rhyme for me?""
Yeah I can do that, check this one out honey
I motivate, accelerate
Devastate, and dominate
I don't smoke crack so I won't lose weight
Give me the {pussy} and the money and the mic and I'm straight
Go to a restaurant, give me steak
Then cook my chicken with Shake'n'Bake
I leave all the preachin to Reverand Flake
How much money can one black man make? Huh
I'm what's known as a true dynamiter
I write rhymes fast without a typewriter
Go with the flow, but no, I'm not a biter
Can't compare a cock-a-roach and a spider
Hell, you might as well get a glass of punch
Cause you're bitin my lyrics like a Nestle Crunch, huh
And bitin my rhymes ain't slick
I got your gold teeth marks all over my dick
Complications and aggravation
An unnecessary-sation
I'm like Sunkist, good vibrations
Your al-blum, sounds like a compilation
Cool out, grab a seat and listen..
Cause I'mma start dismissin
Sucker MC's who's out there frontin
Talkin all that yang, yo you smokin somethin
Shoulda treated me royal, yo he wasn't loyal
Now it's all about chaos and turmoil
Gimme that microphone
I'mma show you the real meaning of the danger zone
{*phone rings*}
Yo.. ""Hello is this 1-900-LL Cool J?""
Yeah whassup? ""Can you tell me what you do when you're coolin out?""
Yo check this out
Now when I'm coolin out, no time for a granny
Just a fly girl in t-shirt and panties
""Can LL screw?"" Man, can he!
I tell you what, give up the fanny
Cause on a bedroom tune, J's swift
Not too big, but nothin to play with
In addition, you on a mission
You need to audition for another position
Doin damage is a crew tradition
Name your next al-blum intermission
You're full of preservatives -- plus
You're too conservative
I'm full of flair, savoir faire, debonairre
There's no competition for this here
So don't waste your time and breath
I'm givin you all a big F
MC's I envelop
As the song goes on, the rhyme develops
I'm asiatic, acrobatic, charismatic
You don't want no static
Anyway, I ain't havin it
When I see the microphone -- I'm grabbin it
Plug it in and take charge
LL XL, Xtra-Large
KnowhatI'msayin? Peace
{*phone rings three times*}
Hello?
Hello whassup girl?
How you doin girl? I been tryin to call you all day
Word up I was talkin to LL he was kickin some mo' HYPED up rhymes to me
Word, I spoke to him today too - them rhymes WAS pumpin
Well not to cut you short but I gotta go cause my man is here
Alright
See-ya"
44,Common,"1, 2 Many",One Day It'll All Make Sense,"One wa-wa One, One Two, One Two
One wa-wa One, One Two, One Two
One tigga One, One Two, One Two
(Dug Infinite)
Dug Inf on production, my man Com for the discussion
Check it
(Common)
One day, I was tryin to be myself
The same day this thug say, ""You gotta come hard!""
Nigga, times is hard, I'm tryin hard to make it
It ain't hard to tell, it's hard for me to fake it
Plus, it's hard to be me, it's hard to stop drinkin
I guess it's hard for you hard niggas to start thinkin
Pussy MC's stinkin so I can't get hard
Some, become MC's cause it's hard to get a job
Hard for you to trust people, you don't trust in God
Even harder to be the Gods we created to be
This Western way of life ain't native to me
Put one nigga in your Pulp Fiction and relate it to me?
I hate it that we, the only race that call our women hoes
Niggas, be too hard to say ""ho"" at the shows
I rose... like a florist to bring the flavor like a Taurus
Might not have the murderous verse, but I stay hard to the chorus
Took this girl to work, she say I ain't have a real job
Like that dick you had last night, baby, I work real hard
Simple motherfuckers tellin me hard is criminal
Niggas you thought was hard, you pourin out your liquor for
Years ago, I thought I was hard, in high school fightin
Now, I'm the hardest man working in show business
Handle your business or shut the fuck up
(Dug Infinite) It's just one two many niggas got cars and no land
(Common) One two many niggas with cash and no plan
(Dug Infinite) One two many niggas that's tryin to MC
(Common) That's one two many niggas comin up to me
(both) That's one two many niggas
Just one two many niggas (2X)
(both) That's one two many niggas
Just one two many niggas
(Chuck D) ""One, two""
Forever, I ain't gon' be rappin
Shit'll happen to me, I gotta let niggas know
This mark asked me do I know his cousin Jimbo
Nigga, I don't even know myself
You want me to get you in
Jack, I'm trying to get through the do' myself
Opportunity knocked, but he ain't call 'fore he came
Yeah, I got a name, but only twenty dollars to it
Next album you gon' blow, up my ass, you done blew it before
Being in my video, what's that gonna do for your life?
Get you some pussy? You should be gettin rump off GP
Quit that you look like you say I seen you on TV
I be readin niggas but readin be makin me sleepy (Hey!)
So strong am I, A Hundred Styles and Runnin
Niggas stuck on one and them I ran by
Claimin they fly but they stand-by
I come truer than a dream, and youse a damn lie
With that anti-rap, complainin about this and about that
Sounding bitch like, that ain't gonna make a nigga get right
I'm number one
(Dug Infinite) One two many niggas tryin to tell me bout they theory
(Common) One two many niggas that ain't tryin to hear me
(Dug Infinite) One two many niggas doin shows that don't happen
(Common) One two many niggas life depend on rappin
(both) That's one two many niggas
Just one two many niggas (2X)
(both) That's one two many niggas
Just one two many niggas
(Chuck D) ""One, two""
(Dug Infinite) One two many niggas can't find they niche
(Common) One two many niggas wanna be my bitch
Nigga, one two many niggas"
45,Common,16 Bars,,"Yeah yeah
This is common
Shout outs to No I.D
Shout outs to Chicago
Good music
Yeah what up, what up ye, love
Yo, this is my sixteen bars
Feed live souls with two fish and five loaves
Teach a man to cook it for survival
My dad said it rained on my arrival
Not a storm of the brain makes these niggas drive slow
Like I was five-O but my creeds Apollo
On a rocky road with Dakota's live show
For those before I came I make the song cry for
Lyrical gymnast, you set the bar low
This is that, Kilimanjaro, like twitter you can follow
It may be hard to read like hiero, glyphics
Written on the walls of Cairo
Check my youth revival, truth inside flow
I ?stan? like Em there with Dido
Crash party any live ho is liable to get banged like gangs that rival, tribal slang
From the primal brain kill the game and watch it die slow
The Ali MC, I fight for more than the title, ya idol"
46,Ghostface Killah,260,Ironman,"Cat I got to take him off of here, that's right
I got to take him off of here
Cause there's only one, and that's me
You understand? 'fore all that fighting, you understand
That sucka think he good, that sucka think he can whoop me
And I know he can't whoop me, I...
Ay boy, the nigga whole style is chump
You understand?
Let me get mines first
Then after I get mines, you can do what you want to do...

Yeah, scandalous
Yeah miraculous, the arsonists

Yo, kicked down the door in the spot, 260
2L, I heard they had O's for sale
I heard the same shit, money drive a burgundy whip
Keep a low fade, license plates engraved ""PAID""
Where's the cat from, think he's from New Jerusalem
Pretty Rick did his thing for him, but he was using him
Boss Sun's younger physical, you know the God
He go with Tip, the one who called Lover of God
Why Equality Self, I know the Master Allah Now
It's time to get the God U and blow like mines
But on the low I heard he got Born Original sent
Back in a drive-through Kentucky Fried shot up his Ac
We got to get him dun, aliens is snatching our bread
UFOs moving in with bigger plans than Feds, yo
Knock on Daddy-O's door get the scope
He's not home, he took Ishmael to Park Slope
There go the the dreads yo, swindle two bags of that skunk
That get you crashed out had you laid out like bums
Peace Kiana, what's up with your girlfriend Wanda
She drive a cream Honda, with legs like Jane Fonda
I just left her, she took Regine to Pathmark then
Jetted to Canal to get her man some Clarks
She should be back in ninety minutes, Ghostface
God forbid she safe, BCW was watching the kids

Two hours later, scheming like DeNiro in Casino
Son better have more coke than Al Pacino
Kiana ain't telling no lies, last year she did a sting and a half
With Tymeek bought him a aircraft
But anyway, yo, Daddy-O home, we need the shotties nid-ow
When we get back, throw you a thid-ou
Later that night, stay mesmerized yo
Go get the green 5, meet you on the corner of Now Why
You ready, you got the E&J and the machete?
We going upstairs, I hope one nigga is heavy
We walked in, both of us, looked like terrorists
Masks on, second floor, dun yo, I handle this
Kick in the crib, the whole shit looked graphical
Natural, fucking a white bitch, actual
Fiends chanting, ""Do your thing Chef, handle it""
I shot him in the neck, it ricocheted and hit Carolyn
Ran to the back analyzing, much disguising
Surprise is coming in their eyes and tranquilizing
Bugging, throwing the twin cousins at his nugget, fuck it
Meet shottie waddy slug body hobby
Where the drugs, where the ounces you be bouncing
Fake cats announcing on the block, you lounging
Where the blow at, I ain't got shit, stop fronting
(Yo Chef, throw the joint in his mouth, money'll stop stunting
Bitch, hold that pit, before I push your wig back
Chef stop waving that, show him where the paper at)
Come here Valerie, you know the God he need a salary
Put down the pipe here's two tickets to a coke gallery
It's in the kitchen in the ceiling
(Baby girl kept squealing
Only found a white block of cheese from New Zealand
Ohhh shit! Yo, yo where that shit at yo?
Yo Chef, where that shit? What? What? Aiyyo...)"
47,Ghostface Killah,2getha Baby,Apollo Kids,"""Together baby.. together baby""
""Baby just you and me (just you and me) whoahhh""

Yo, yo
Aiyyo it's Tone, crispy like a pair of headphones
Used to play the 280 party rec rooms
Now I play the big spots all in the city
Spread champagne, scopin out bitties
Pick one, thick one son with small titties
It really doesn't matter as long as she's pretty
Come here mami, dancin right beside me
Tommy Hilfiger cut, skin like Halle
She looked like she get it from her momma (momma)
That's right Michelle, I'm Obama (bama)
Or maybe she get it from Madonna (donna)
+Material Girl+ I still don ya (don ya)
Je-wels is for the girl if she do well
Knew she was dangerous, she rode me up too well
Her jelly roll shakin like she into the well
She wanna put my name on her new nails
 - repeat 2X

Yo, yo
Aiyyo I roll on bitches, like a skateboard
Got a few friends that give they cake to whores
Me that's a no-no, Starks take control of a chick
Then I go deep like Tony Romo
Kick 'em right out and the day starts over
Where I don't stop drinkin and I can't stand sober
In the morning when I wake up I get up just to ill
TD Bank is what I do with the mills
Bracelets, Cuban neck is on chill
Polar bear ice, I stay dressed to kill
I found my thrill on Blueberry Hill
Hittin the haze, now I'm on stilts
I'm too high, stuggle like Precious (Precious)
Love doctor niggas get the message
When it comes to baggin a chick, don't be impressive
I get girls, y'all fellas is desperate
 - repeat 2X

Yeah
Yeah, yo
Yo son tap that girl, excuse me miss
You gangster~! Far from a bougie chick
Love the way you talk, your jeans fit nice
Still a lil' hood in you, you just my type
Go 'head swallow that Nuvo, no disrespect
You front on me tonight I'mma bag me a new ho
Spank that ass like a real papichulo
That Jimmy Neutron will sit you right on your culo
 - repeat 2X

That's right sexy lady
Come and have a seat baby
Come get a taste of this Patron and Nuvo
This that Jimmy Neutron baby
Your lipstick lookin all good put your lips on this baby
Come sip on this, aight?
Check it out, let's go"
48,Big L,139 - Tony Touch,Harlem's Finest - A Freestyle History,"""Big L"" -- Lord Finesse
*scratched during the intro*
""1-3-9"" -- Notorious B.I.G. - Ten Crack Commandments
(Intro: Big L)
Where I'm from
Yeah, Tony Touch in the house, yeah
Big L Harlem on the rise, 1 3 9
You ain't know!?
One love to my nigga McGruff, Mase Murda, Killa Kam
Rest in peace to my man Bloodshed
Live on baby, the spirit live on
Yeah BBO in the house
Yeah my men stand I'ma rock this shit
Check it out!
(Big L)
Yo, I be that smooth cat you never seen rollin' with clowns
One of the few from Uptown that's holdin it down
Bitches be on me like I'm welfare, even rich ones
That live in Bel Air, is this Big L yeah, hell yeah
Word up, I use a chrome gat to push domes back
Watch how you talk when you call me, Feds got my phone tapped
This rap game, I put my life in it, chain got
Mega ice in it, push an Infinite, chrome rims, light tinted
You can see pal, it's all about me now
Twenty G's a show bitch three thou just to freestyle
I made this cheese it didn't grow on trees
Can you hold somethin? Sure, you can hold on these
Yo I'm fat like the old Cray-on, smooth as Rayon
L is who the ladies stay on, baby play on
I stay jeweled up, pockets swelled up from banks I held up
Plenty bitch-ass niggas Big L stuck
I never catch cold feet when I hold heat
We roll deep, with the Triple Black dogs in their old jeep
I catch a fag three o'clock in the morn
On the block all alone and put the Glock to his dome
Tell him ""Give it up quick, you nitwit, don't try to get slick
Or I'm a let this four-fifth spit and leave your shit split""
Prick, it ain't nothing decent about me
A true thug for real, you can ask the precinct about me
A rap junkie, don't try to play me like some flunky
Jewels be chunky, pockets lumpy, attitude grumpy
And mad niggas be fronting the life
Popping mad shit, trying to be something they not
Your faggot ass better stay to dancing, don't even look at me
I might break your jaw just for glancing
I'm sick like Manson
In '97 Harlem kids is blowing
And we don't trip, we'll let a bitch starve til her ribs are showing
Artist: Big L
Album: Harlem's Finest - A Freestyle History
Song: Stretch Debut
(Big L)
Word, check it out check it out check it out
Bust it
Emcee's get taught a lesson
When the mic is in my posession
Rap's my profession L is nice, no question
It's a fact I stay geared it shouldn't be weird
That I'm feared cause my raps are rougher
Than a nappy beard
I cook rappers like a chef
I'm def like Jeff right to left
My raps are better than mornin' breath
With niggas deaths I'm the number one suspect
Cause I catch much wreck specially when I'm upset
Suckers I'm a stiggedy star, breakin' 'em up and then takin' they heart
You better believe Big L is the man that be rippin' the microphones apart
I hold the forty right because I'm the naughty type
When I strike the mic niggas be like shorty hype
I'm smoother than Velvet my lyrics is well writ'
You sayin' L's this and L's get off L's dick
Rhymes I create and knock out ya gold tooth
Battlin' me is like fightin' a gorilla in a phone booth
I wreck mics and rock the cool speeches
Cause nowadays rappers think they motherfuckin' schoolteachers
One two, one two, rappers I run through
Fuck Karate I practice gun-fu
The Big L is an assasinator
I grab the mag and leave a fag leakin' like activator
I'm the nigga that you never even thougth of beatin'
Black white or puerto rican
I'm gonna slaughter each an'
Every crab emcee that runs up
When a battle comes up
Give me two thumbs up
Peace!"
49,Big L,560 Tape Freestyle,,"I walk through the ruggedest blocks
With jewels flooded with rocks
Hustlin' on hot corners that be smuggled with cops
I must warn, my Harlem crew roll strong
Word bond, we leave mics torn,y'all niggas slept too long now it's on
L Corleone'll never flop, rap style's forever hot
Front on me you better not, I keep the Baretta cocked
I got more papers than a New York Post
Packin' toast, this host is quick to roast a mic then I'm ghost
I'm not a soprano like that Italiano Sammy Gravano
MCs is gettin' knocked off like Paulie Castellano
This little menace be, guzzlin' Hennessy
Props from here to Tennessee, police wanna finish me
I run with cliques, pushin' luxury whips
Who be callin' chicks on Motorola flips, with illegal chips
Don't sleep troop, it's a fact I keep loot
Dime bitches be all over Big L like a cheap suit
The rap veteran, hot beats is the medicine
Niggas'll never win, in a battle, cause I'm better than
Ninety percent o' them, front and death'll be your minimum
The grave is where I'm sendin' 'em, clowns, like Mack 10 and 'em, uh!
I'm from the East Coast, this is how we roll in New York
A bunch of rowdy niggas holdin' the fort
Jackin' creeps, packin' heat
These Harlem streets is for keeps
Much love to all my peeps who got covered with sheets
And uh, where I be dwellin' at snitches get killed
On the real side, I probably fucked more bitches than Wilt, nigga
In clown hearts I put a lotta fear
One love to Fat Joe and 560 yeah, I'm outta here
Yo McGruff, yo my mellow, my man
Ayo uh, grab the mic and do the best ya can..."
50,Redman,2 Tears In A Bucket,,"Soon as I cop the nine, I pop the nine
When I take it out the box, I represent Lox
Now when I flow, you hit the rewind button
So I charge out more, want it all at the door
Fuck heat, Sheek walk around with an oven
Who you gonna kill with that little Foreman grill?
How it's gon' look when I come through your block?
Sheek, Funk Doc, Meth on top
Porsche, 300 horse fly by, back open pumpin How High (How High)
Yeah, can y'all see that (See that)
Bitch you can call me what you want, ''cause I'll Be Dat (Be Dat)
Get off my dick, I don't care about no jewels
Long as the condo's paid and the truck I choose
I'm tellin y'all niggas, if it's not double R
I'ma spell my name out on the side of your car
Chorus:
Come and Ruff Ryde with us
If you wanna get high with us
If you wanna get down with us
Come on nooooowwwww
Come and Ruff Ryde with us
If you wanna get high with us
If you wanna get down with us
Come on nooooowwwww

I got a twin cam exhaust connected to the jaw
A five speed clutch on my paw when I ride
I glow like the pegs in Lite-Brite
3000 bolts of lightening when fly the right kite
Me and Meth be hennesey, two ice cubes
We can draw (Choose your weapons) or do I choose?
When I choose the grip, one shot lose your hip
I hope your shoes fit for this move and pick
My avalanche it came with, ten feet of snow
I'm cold blooded, my fam half eskimo
My flows move like endo
Turn ten nickels into ten loads, outta ten stoves
Ride the crash course, do the math on it
Swizz Beats you can ride Amtrak on it
But I'm on it, grillin with George Foreman
Ya peeps is at the Grammy awards cornin
The ice, the fat wallet son, I won it
In the helicopter, warmin before morning
Def Jam nigga, Redman nigga, Doc
Fuck ya momma on my sweat band nigga
You tough guys will get smacked in the club
With the gun I bought from Mack in the club
Its P-P-P from Bricks to Brook-nam (Come on)
Bring me some more ass to whoop on
Chorus

Look what the cat dragged in
Underground dweller from the cellar bring terror
Scoop of high yellow cinderella, Meth forever
Never rush a rhyme, hook could never bust my nine
But if I have to, I have to, it's all in the mind
I stay ahead of time while y'all fallin behind
Tryin to relight ya lime, it's a crime when I drop ??? design
That tick it, tick boom, blow your mind
Yeah me, M-E-T, H, the O, the D
Can't be done like tryin to find a penny in the sea
Nigga run for cover son go and get them guns
Y'all ain't from here, don't try to come around and gettin ones
Swizz Beat the track in the head, but I instead
Pull my ?dart gun? and bust sixteen until it's dead
I'm the game, all of my dogs be off the chain
Yellin Wu-Tang, Wu-Tang
Chorus"
51,Redman,A Day of Sooperman Lover,Whut? Thee Album,"-Look! Up in the sky!
-It's a bird...
-It's a plane!
-Hee hee hee hee, no! It's Sooperman Lover, baby! Yeah
-Daddy, Daddy! Would you please tell me a story?
-Alright, get over here and sit yo' big ass down
Lemme tell you about the Sooperman Lover...

Ayo, I was out to lunch and shit, puffin' on a blunt to get my head wrecked
Boogie'n to my Walkman with an ""S"" on my chest
(Bust a move!) Yes, I'm a superhero, don't forget
I smoke mad niggas so to hell with cigarettes
But anyway, let's get back to this skit
You know who the fuck I am, so git off that ol' bull-
Shucks! Lunchtime was up?FUCK!
Let me jet, or I'll collect unemployment bucks
On the way back, Jack, I spotted this object, a stray cat
Stuck in a tree, with a tag that says that:
""If found, please return to this address""
(How did you see it?) Nigga, with my X-ray eye set!
Like ""Pchoooooooww"", I jetted to the closest phone-booth
Quick flash, I dipped into my Sooperlover suit...
(Johnny 'Guitar' Watson: I can leap tall buildings...yeah...
In a single bound...)
Boom! Right through the fuckin' phone booth ceiling
(It's a, it's a plane!) Nah, Sooperman Lover's the name
I can slam King Kong and pick up freight trains
On a mission, to save this cat that was wishin'
He was in his litter, watchin' Fritz on channel 6'n
Relaxin', feet cocked up, just a little
With a cod cocktail and a bowl of tender vittles
I snatched him, took off through the air like a pigeon
Quick so he won't start meowin' and bitchin'
Then landed at the cat's tag address in the projects
(Elevator's broken!) So I had to take the back steps
(Knock, Knock) The door opened then my eyes swole
From this badass honey sippin' a quart of Old Gold
""Yo, is this your cat?"" ""Awww, yes! Where'd you find him at?""
""He was stuck in a tree up by uptown Manhattan""
""Well, how the hell did you save him? Are you police undercover?""
""Naw baby the ""S"" on my chest stands for""

Sooperman Lover, yeah
Said they call me the Sooperman Lover, yeah
But something wrong...
There's something wrong with me
There's something wrong, yeah, yes it is...

She was grateful, lookin' for ways to repay me
No money, a donut, and some..uhm coffee maybe?
""Of course, what kind to show that I thank ya?""
""Make my donut jelly, and my coffee Sanka""
We sat, unhooked the cape from my back
She felt my arms 'cause my pythons looked stacked
""Goddamn, Sooperlover! Yo shit look thick
Tell me, how strong are you with muscles like this?
You bad motherfucker!"" (I'm stronger than a locomotive)
Akhi hit ya like Rocky
She dashed to the room and came back with an ounce
Negligee, high-heeled shoes with a blunt in her mouth
Ready to roll up, hey hold up, she had the dollar fold up
To mix the coke with the smoke, yo, she was no joke
She took a sniff, some got on her top lip
That bitch stuck out her tongue and gave her top lip a lick
And said: ""Here baby, hit it."" ""Naw baby, I ain't wit' it
You'd need more than a body to make me wanna sniff that shit!""
But I'll hit the blunt, so she took out her fronts
Cracked the Phillie, opened the bag, and laid out the skunk
Then I took a long pull, it was hype, oughta sight
She ran into the bedroom so I cracked my pants for head room
Later, tossed the cover and, oh brother, I was wit' it
Ready to hit it asked my dick (Yo, wassup, G?)
Yo, man, shit's thick
Licked her on her belly then kissed her on her back
Stuck my hands between the legs and I felt the bozack
As big as mine (Ewwww!) This bitch must be craze
So I threw my suit on and I was Swayze...
'Cause I'm the

Sooperman Lover, yeah
Said they call me the Sooperman Lover, yeah
But something wrong...
There's something wrong with me
There's something wrong, yeah, yes it is..."
52,T.I.,24's,Trap Muzik,"Yeah
For all my real ATL niggas, that?s right
This the dope boy anthem
Come on

Money, hoes, cars and clothes
That's how all my niggas roll
Blowing dro on 24's
That's how all my niggas roll

I'm in a drop-top Chevy with the roof wide open
My partners looking at me to see if my eyes open
Cause I've been dranking and I've been smoking
Flying down 285 but I'm focused
454 SS, I race Porsches
White leather seats, as fresh as Air Forces
Doing 'bout a hundred but the track still bumping
Number 8 on N.W.A, ""Straight Outta Compton""
Pull up at your apartment sitting on 20 somethings
And the dope boys hollering ""What's happening?"" kid running in
The cliques start dancing and the broads start choosing
And the cars been parked but the rims keep moving
Sign pictures, buy an onion of good and throw the deuces
Cause I ain't Hollywood, I come from the hood, I'm used to it
If your rear view shaking and your seats vibrating
24 inch Dayton's got the Chevrolet skatin' makin'


I make a million and I'm satisfied, I'll get the rest
Underaged civilian in the tigthest ride, I want the best
I refuse to get a 9 to 5, I'mma flip my keys
Been paying my dues since '89, tryna get my cheese
Diamonds gleam when I'm on the scene, they know it's me
Ain't no dream or no fantasy bitch, it's T-I-P
Broad busting, like a baby do a binky
Five karat DVS's on my mothafuckin' pinkie
Half of Hennessy and Belvedere's what we dranking
Pimp squad send for broads, what the hell you niggas thinking?
Young nigga spending weekends on the islands in the fall
24 inch rim shining when I'm riding cause I'm balling
I'm calling out shots like a pool shark
My tools spark in the dark when I fool marks
Y'all fools hearts in the wrong place at the wrong time, I got a strong mind
To grab my chrome nine and shoot at your ass for a long time
But I'mma get that ass hauled off, fuck around with the clique
They'll be looking for your dick with a stick, nigga y'all soft
So y'all lost, I'mma ball out at all costs, spit game to a dame
Make her ride on this thang 'til she falls off and sucks balls off, I got the


I'm not boucing little shorty, I'm relaxing right now
I'd probably still be trapping if I wasn't rapping right now
Bragging about pistols at the house, guess who's strapped right now
Keep on talking folk, I'll lay you on your back right now
Want to act right now, get smacked right now
I'm a buck mothafucka, I don't know how to back down
Clown down here fakin', frontin', talking ?bout what you making: nothin?
I'm 21 and 10 years deep, that shit to me ain't nothing
I'm raised by the niggas getting head from the jays
Lose your leg when I spray, end up dead from the K
Stay ready for the raid, paid heavy from the yay'
I told my class to kiss my ass, I make 11 everyday"
53,T.I.,24's (Hypnotize Remix),"24's ?[12"" Single]","24's homie
Grand Hustle pimp. Hypnotize Minds
Let's go!
It ain't over, pimp, y'all already know who it is homie
Rubberband man!
Triple Six let's remix this thang
Juicy what it is pimp?
Yo, DJ Paul what's hannin'?
Crunchy Black, Infamous, what it is, homie?
I know my folk mane, keep it pimpin' in Memphis
Ya' understand me?
A-Town
Westside Bankhead

I'm ridin' my 24's, runnin' from the police
Got about a juice, but I sniff as I'm purple weed
But this nothing, I bring the shit to keep the smelling good
Man it's just stanky stanky weed from my neighbourhood
On the streets of Memphis we bumpin'
If you need something, call my cell phone
 for the charges, dope sellin', robbin'
And I can't go back to jail
But my trauma 

Kick in the door
I'm makin foes hit the floor, so keys up
 24's all with 23's
Memphis, Tenn and ATL
Fit like rims and tires
 barbeques and ties
Out in sky, listen to my pipes
Cuz I be pimpin' grand, smoking light, all night
I'm fresh about the trap
Till 
 bout to deal with five caps, shawty

Money, ho, cars and clothes
Thats how all my niggas know
Blowin' dro' on 24's
That's how all my niggas roll

I got hundreds, the rubberband banks
Phew, sure bitch, I give a fuck what you think?
That's why I'm with my partna's
Rolling purple stank
We in Memphis city
Worth the sweet,  gettin' paid
And our Chevy's standin' tall
The spinners still spinnin'
The bar have the bitches
They gon' hide, fallin' pimpin'
They fallin' out their heels
On the ground, still grinin'
Larger than light, thats how a nigga livin'
Pimpin' get with it
Man it's always been a dream
Told my mama 'bout my business
And my fresh white tee
And shorts that leanin'
And we fuckin' plenty women
And women that kissin' women
Fuckin and lickin' each other, it goes down pimpin'!


Here we go shawty
Spent 80 on the (sub)burban, 24's standin' tall
Im ridin', drinkin', swerving
Still slangin', serving raw
In the heart to the left
I ain't chasin' them broads
 clean, ride clean
No face, no flaws
In the club every nigga on the parking lot posted
They wanna holler West, just call
Yes y'all on the song lets ball
Remix, Triple Six, Juiceman, DJ Paul (Crunchy Black, c'mon nigga!)
Holla at my nigga MJG and Ball, Bun B
Yes Jeezy, Slim Thug, Paul Wall
C'mon Pimp stay property blockin'
And y'all  Project Pat, behind the walls
On the map Atlanta got 
They show love, so show love back
 in the trap, never eager your rap
Over 50K sold the first day, it's a wrap
This ain't the game, this the trap


King of The South!
Pimp Squad Click!
Will Cannon!
376!
They call me , nigga"
54,Big Pun,100%,Yeeeah Baby,"Ooooooooooohhhhh.. Puerto Rico

Toma

Pronto llegara, el dia de mi suerte
Te lo juro por mi gente
Te juro que un dia llegara
And we won't stop
We always knew we'd make it
Even though you player hated
We still made it to the top

Puerto Rock Puro, not Menudo no I'm not the one
I'm studyin' Judo, you don't know if I got a gun
It's Pun, from the X side of things, baguette inside my rings
Everything I want I gets, bada-BING
It's mine I Shyne like money that sound like Biggie
Fuck around my town, Boogie Down my city
Come around get pound, to the ground no pity
Watch the sound, fo'-pound twenty round milli'
Get smacked silly, for coming out your mug
I'm known for bouncin' thugs from the Tunnel to the Salsa clubs
Don't matter, put the chrome to your bladder
Splatter your abs, have you pissin' in a plastic bag
That's a drag now you abnormal
Don't make me go out to rumble
And put some motherfuckin' stabs on you
The night is young and I'm already fightin', hidin' my gun
Promoter buggin' screamin', who the fuck invited Pun


From San Juan to Bayamon, I'm the Don Juan beside the Don
Live long, get your party on
Don't let the liquor fool you, cause I'll stick it to you
Somethin sharp to the heart, or somethin big to move you
The Desert or the shottie, whatever you the body
That chose to be the dumb nigga at the party
Too much Bacardi started speakin' dumb
Then you tried to snuff Joe, must have been Puerto Rican rum
That's the hardcore, two years a sophomore
Takes years to earn a pair of Terror Squad balls
So get lost or take one, bones I break them
Pigs are bacon, so get fried if they come
You see that? I'm like G. Rap, 'Pac, Master P
All balled up with a twist of Marc Anthony
Recognize me I'm the one that's cockin' the auto
Tony Sunshine please canten el coro

 It ain't over
 I thought you ain't like the beat
 Te digo que no se ha acabado

La tierra del Borinquen donde nacido yo
Aha aha aha aha..
Es un jardin florido de magico primor
Aha aha aha aha aha aha aha...
Un cielo siempre nitido, que sirve de dosel
Y dan arrullos placidos, las olas a sus pies


A Puerto Rico"
55,Big Pun,Air Pun (skit),Yeeeah Baby,"(Pun snoring on a plane)

Sir, can you wake up please?
Sir, you're disturbing the other passengers sir
Sir, can you wake up please?
Sir please, wake up
Sir
(Pun wakes up, coughs, farts, then burps)

Attention passengers, this is your stewardess Edie Chacone
On flight 560
We will be reaching our destination point of San Juan, Puerto Rico within the next 5 minutes
Please fasten your seat belts and have your seats in an upright position
Thank you for flying Air Goya"
